date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-07-01,sh.600000,8.0100,8.0400,7.9800,7.9900,8.0100,17846787,142651655.1700,3,0.060800,1,-0.249700,0
2022-07-04,sh.600000,7.9900,8.0000,7.9400,7.9600,7.9900,18222009,145047089.1700,3,0.062100,1,-0.375500,0
2022-07-05,sh.600000,7.9600,8.0000,7.9400,7.9800,7.9600,21322243,169924262.9100,3,0.072600,1,0.251300,0
2022-07-06,sh.600000,7.9700,7.9800,7.8700,7.9000,7.9800,28829658,227963132.4700,3,0.098200,1,-1.002500,0
2022-07-07,sh.600000,7.8800,7.9200,7.8600,7.8700,7.9000,18636395,147034169.9300,3,0.063500,1,-0.379700,0
2022-07-08,sh.600000,7.9000,7.9000,7.8700,7.8800,7.8700,12379190,97665056.8800,3,0.042200,1,0.127100,0
2022-07-11,sh.600000,7.8700,7.9000,7.8600,7.8700,7.8800,16195472,127636556.9700,3,0.055200,1,-0.126900,0
2022-07-12,sh.600000,7.8600,7.9400,7.8600,7.9100,7.8700,19889798,157433751.9200,3,0.067800,1,0.508300,0
2022-07-13,sh.600000,7.9300,7.9400,7.8500,7.8500,7.9100,30506523,240374854.3500,3,0.103900,1,-0.758500,0
2022-07-14,sh.600000,7.8400,7.8600,7.7500,7.7900,7.8500,40565878,315441408.7600,3,0.138200,1,-0.764300,0
2022-07-15,sh.600000,7.7600,7.8000,7.6500,7.6700,7.7900,47127632,364457390.7800,3,0.160600,1,-1.540400,0
2022-07-18,sh.600000,7.6800,7.7900,7.6800,7.7900,7.6700,25164232,195287190.7300,3,0.085700,1,1.564500,0
2022-07-19,sh.600000,7.7900,7.8200,7.7700,7.8100,7.7900,28872304,224891813.3500,3,0.098400,1,0.256700,0
2022-07-20,sh.600000,7.8500,7.8500,7.7700,7.7900,7.8100,39713402,309465405.6900,3,0.135300,1,-0.256100,0
2022-07-21,sh.600000,7.4000,7.4100,7.3300,7.3300,7.3800,41541585,305408212.2200,3,0.141500,1,-0.677500,0
2022-07-22,sh.600000,7.3400,7.3800,7.3400,7.3500,7.3300,19660796,144713989.7500,3,0.067000,1,0.272900,0
2022-07-25,sh.600000,7.3300,7.3800,7.3300,7.3500,7.3500,17093960,125744844.4600,3,0.058200,1,0.000000,0
2022-07-26,sh.600000,7.3600,7.3900,7.3400,7.3800,7.3500,18730569,138030623.4000,3,0.063800,1,0.408200,0
2022-07-27,sh.600000,7.3600,7.3700,7.3300,7.3400,7.3800,17036417,125085329.4300,3,0.058000,1,-0.542000,0
2022-07-28,sh.600000,7.3500,7.3700,7.3200,7.3300,7.3400,21524372,158047423.2700,3,0.073300,1,-0.136200,0
2022-07-29,sh.600000,7.3500,7.3500,7.2300,7.2600,7.3300,43873316,319838541.1900,3,0.149500,1,-0.955000,0
2022-08-01,sh.600000,7.2600,7.2800,7.2100,7.2300,7.2600,24438011,176997248.6800,3,0.083300,1,-0.413200,0
2022-08-02,sh.600000,7.2200,7.2200,7.0700,7.1400,7.2300,40986083,291570126.8400,3,0.139600,1,-1.244800,0
2022-08-03,sh.600000,7.1300,7.1700,7.0700,7.0700,7.1400,28144846,199887999.4900,3,0.095900,1,-0.980400,0
